"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","ING","I_HOGAR"
"122","7910267","1","1",0,1,0,0,1,552500
"123","7910268","1","1",0,1,0,0,2,680000
"124","7910269","1","1",0,1,0,0,1,312500
"125","7910270","1","1",0,1,0,0,1,1903333.3333
"126","7910271","1","1",1,1,1,1,3,22415000
"127","7910272","1","1",0,0,0,0,1,2536666.6667
"128","7910273","1","1",0,0,0,0,2,7396666.6667
"129","7910274","1","1",0,0,0,1,1,1200000
"130","7910275","1","1",0,1,0,0,1,333333.33333
"131","7910276","1","1",0,1,0,0,1,1917272.6667
"132","7910277","1","1",0,1,0,0,2,6e+05
"133","7910278","1","1",1,1,0,1,3,10170833.333
"134","7910279","1","1",0,0,0,0,1,250000
"135","7910280","1","1",0,0,0,0,2,4131433.3333
"136","7910281","1","1",1,1,0,0,3,29133333.333
"137","7910282","1","1",1,0,1,0,3,16300000
"138","7910283","1","1",0,1,0,0,2,1004166.6667
"139","7910284","1","1",0,0,0,0,1,1016666.6667
"140","7910285","1","1",0,1,0,0,2,1440000
"141","7910287","1","1",0,0,0,0,1,1700000
"142","7910288","1","1",0,1,0,0,2,3415000
"143","7910289","1","1",1,1,0,0,2,6950000
"144","7910290","1","1",1,1,0,0,2,6830000
"145","7910293","1","1",0,0,0,0,1,1350000
"146","7910294","1","1",0,1,0,0,2,7e+06
"147","7910295","1","1",0,1,0,0,1,1288333.3333
"148","7910296","1","1",0,0,0,0,1,1110000
"149","7910297","1","1",0,1,0,0,1,576666.66667
"150","7910298","1","1",0,1,0,0,2,2501666.6667
"151","7910299","1","1",0,1,0,0,1,2129272.6667
"152","7910300","1","1",0,1,0,0,2,2492500
"153","7910301","1","1",0,0,0,0,1,2490000
"154","7910302","1","1",0,0,0,0,1,1675000
"155","7910303","1","1",1,1,0,0,2,3565000
"156","7910304","1","1",0,1,0,0,1,1205000
"157","7910305","1","1",0,0,0,1,2,984166.66667
"158","7910306","1","1",1,1,0,0,2,5200000
"159","7910307","1","1",0,1,0,0,2,1040000
"160","7910308","1","1",0,0,0,0,2,9e+05
"161","7910309","1","1",0,1,0,0,2,2254166.6667
"162","7910310","1","1",0,1,0,0,2,2291666.6667
"163","7910311","1","1",0,0,0,0,2,3741666.6667
"164","7910312","1","1",0,1,0,0,2,1093333.3333
"165","7910314","1","1",0,1,0,0,1,4e+05
"166","7910315","1","1",0,0,0,0,2,1983940
"167","7910318","1","1",0,1,0,0,1,355833.33333
"168","7910319","1","1",0,1,0,0,2,1672500
"169","7910320","1","1",0,1,0,0,1,3e+05
"170","7910321","1","1",0,1,0,0,1,1460000
"171","7910322","1","1",0,1,0,0,2,1800000
"172","7910323","1","1",0,1,0,0,2,1276500
"173","7910325","1","1",0,1,0,0,2,5050000
"174","7910326","1","1",0,1,0,0,1,780000
"175","7910327","1","1",0,1,0,0,2,1362500
"176","7910328","1","1",0,0,0,0,2,2905833.3333
"177","7910329","1","1",0,1,0,0,1,207500
"178","7910330","1","1",0,0,0,0,1,1494166.6667
"179","7910331","1","1",0,0,0,0,1,7e+05
"180","7910333","1","1",0,1,0,0,1,2040000
"181","7910335","1","1",0,1,0,0,2,1500000
"182","7910337","1","1",0,1,0,0,1,1066666.6667
"183","7910338","1","1",0,1,0,0,2,1100000
"184","7910341","1","1",0,0,0,0,2,435000
"185","7910342","1","1",1,1,0,0,1,1.4e+07
"186","7910343","1","1",0,1,0,0,1,170000
"187","7910345","1","1",1,0,0,0,3,2375000
"188","7910346","1","1",0,0,0,0,2,3056666.6667
"189","7910347","1","1",1,0,0,0,1,3800000
"190","7910349","1","1",0,1,0,0,3,5303000
"191","7910350","1","1",0,0,0,1,2,6833333.3333
"192","7910351","1","1",0,0,0,0,1,1615000
"193","7910352","1","1",0,1,0,0,2,1359166.6667
"194","7910353","1","1",0,1,0,0,1,415000
"195","7910354","1","1",0,1,0,0,2,1236666.6667
"196","7910355","1","1",0,1,0,0,2,1800000
"197","7910357","1","1",0,0,0,0,2,1150000
"198","7910358","1","1",0,0,0,0,1,202500
"199","7910359","1","1",0,1,0,0,1,1375000
"200","7910360","1","1",0,1,0,0,1,325000
"201","7910361","1","1",0,0,0,0,1,810000
"202","7910362","1","1",0,0,0,0,2,2833333.3333
"203","7910363","1","1",0,0,0,0,2,950000
"204","7910364","1","1",0,1,0,0,2,910000
"205","7910365","1","1",0,1,0,0,2,4385000
"206","7910366","1","1",0,1,0,0,2,1426666.6667
"207","7910369","1","1",0,1,0,0,2,1110000
"208","7910370","1","1",0,1,0,1,2,3074212
"209","7910371","1","1",0,1,0,1,3,6291666.6667
"210","7910372","1","1",0,0,1,0,2,2578730
"211","7910374","1","1",0,1,0,0,2,266666.66667
"212","7910375","1","1",0,0,0,1,1,1522083.3333
"213","7910376","1","1",0,1,0,0,1,245000
"214","7910377","1","1",0,1,0,0,2,2075000
"215","7910378","1","1",0,0,0,1,2,1990000
"216","7910381","1","1",0,0,0,0,1,2100000
"217","7910382","1","1",0,1,0,0,1,966666.66667
"218","7910384","1","1",0,1,0,0,2,350000
"219","7910385","1","1",0,0,0,1,2,7350000
"220","7910386","1","1",0,1,0,0,2,1432500
"221","7910389","1","1",0,1,0,0,2,1600000
"222","7910390","1","1",0,0,0,0,1,2422500
"223","7910391","1","1",0,1,0,0,1,550000
"224","7910392","1","1",0,1,0,0,1,1450000
"225","7910393","1","1",0,1,0,0,1,116666.66667
"226","7910395","1","1",0,0,0,0,1,1750000
"227","7910396","1","1",0,1,0,0,1,3140600
"228","7910397","1","1",0,1,0,0,2,2e+05
"229","7910399","1","1",0,0,0,0,2,1823600
"230","7910400","1","1",0,1,0,0,2,1504166.6667
"231","7910401","1","1",0,1,0,1,2,2416666.6667
"232","7910402","1","1",0,1,0,1,3,4e+06
"233","7910404","1","1",0,1,0,0,2,1050000
"234","7910405","1","1",0,0,0,0,2,1847500
"235","7910406","1","1",0,0,0,0,1,1e+06
"236","7910409","1","1",0,1,0,0,1,905000
"237","7910410","1","1",0,1,0,0,1,5e+05
"238","7910411","1","1",0,1,0,0,2,1256666.6667
"239","7910413","1","1",0,1,0,0,2,2887266.6667
"240","7910415","1","1",0,1,0,0,1,1e+06
"241","7910416","1","1",0,1,0,0,1,1826666.6667
"242","7910417","1","1",0,0,0,0,1,2939333.3333
"243","7910418","1","1",0,1,0,0,1,1500000
"244","7910419","1","1",1,1,0,0,2,1200000
"245","7910420","1","1",0,0,0,0,1,1045000
"246","7910421","1","1",0,1,0,0,1,956666.66667
"247","7910422","1","1",0,1,0,0,2,1003500
"248","7910423","1","1",0,1,0,0,2,1350000
"249","7910424","1","1",0,1,0,0,2,1500000
"250","7910425","1","1",0,1,0,0,1,1160000
"251","7910426","1","1",1,0,0,0,3,125000
"252","7910427","1","1",0,1,0,1,2,2639772.6667
"253","7910429","1","1",1,1,0,0,2,1e+06
"254","7910430","1","1",0,1,0,0,1,560000
"255","7910431","1","1",0,0,0,0,2,2770000
"256","7910432","1","1",0,0,0,0,1,1500000
"257","7910433","1","1",0,1,0,0,2,29270833.333
"258","7910435","1","1",0,1,0,0,2,810000
"259","7910436","1","1",0,1,0,0,2,2620000
"260","7910438","1","1",0,1,0,0,1,2453333.3333
"261","7910439","1","1",0,1,0,0,1,856666.66667
"262","7910440","1","1",0,0,0,0,2,5165606
"263","7910441","1","1",0,1,0,0,2,1310000
"264","7910442","1","1",0,1,0,0,2,2270833.3333
"265","7910443","1","1",0,0,0,0,2,3512500
"266","7910445","1","1",0,1,0,0,2,1069166.6667
"267","7910446","1","1",0,1,0,0,1,425000
"268","7910447","1","1",0,1,0,0,2,1353100
"269","7910448","1","1",0,0,0,0,1,2056666.6667
"270","7910448","1","2",0,0,0,0,2,2150000
"271","7910449","1","1",0,1,0,0,2,1466000
"272","7910450","1","1",0,1,0,0,2,1160000
"273","7910451","1","1",1,0,1,0,3,9216666.6667
"274","7910453","1","1",0,1,0,0,1,1350000
"275","7910454","1","1",0,1,0,0,2,1080000
"276","7910455","1","1",0,1,0,0,2,5953833.3333
"277","7910456","1","1",1,1,0,1,2,4595666.6667
"278","7910458","1","1",0,1,0,0,1,910000
"279","7910459","1","1",0,1,0,0,1,8e+05
"280","7910461","1","1",0,0,0,0,1,6e+05
"281","7910462","1","1",0,1,0,0,1,2063606
"282","7910463","1","1",0,0,0,0,2,1850000
"283","7910464","1","1",0,0,0,0,2,1845000
"284","7910465","1","1",0,0,0,0,1,938333.33333
"285","7910468","1","1",0,1,0,0,1,1840833.3333
"286","7910469","1","1",0,1,0,0,2,960000
"287","7910470","1","1",0,1,0,0,2,1196666.6667
"288","7910471","1","1",0,1,0,0,2,840000
"289","7910472","1","1",0,1,0,0,1,791666.66667
"290","7910473","1","1",0,1,0,0,2,3108939.3333
"291","7910474","1","1",0,1,0,1,2,5685000
"292","7910475","1","1",0,0,0,0,3,3150000
"293","7910476","1","1",0,1,0,0,1,867500
"294","7910478","1","1",0,1,0,0,1,8e+05
"295","7910480","1","1",0,1,0,0,1,5e+05
"296","7910481","1","1",0,1,0,1,2,1383333.3333
"297","7910485","1","1",0,0,0,0,1,2361666.6667
"298","7910488","1","1",1,1,0,0,3,14046666.667
"299","7910490","1","1",0,1,0,0,2,7033333.3333
"300","7910491","1","1",1,1,0,0,2,4816666.6667
"301","7910492","1","1",0,0,0,0,2,3133333.3333
"302","7910493","1","1",1,1,0,0,1,6146666.6667
"303","7910494","1","1",0,0,0,0,1,1900000
"304","7910495","1","1",0,1,0,0,2,80000
"305","7910496","1","1",1,1,0,0,2,6275000
"306","7910499","1","1",0,0,0,0,2,750000
"307","7910500","1","1",1,1,0,1,2,1e+06
"308","7910501","1","1",0,1,0,0,1,396666.66667
"309","7910504","1","1",0,1,0,0,2,1960000
"310","7910505","1","1",0,1,0,1,2,2183333.3333
"311","7910506","1","1",1,0,0,0,2,8995333.3333
"312","7910507","1","1",0,1,0,0,2,922000
"313","7910509","1","1",0,1,0,0,1,608333.33333
"314","7910511","1","1",0,1,0,0,2,4100000
"315","7910512","1","1",0,1,0,0,2,1460000
"316","7910513","1","1",0,1,0,0,2,1510000
"317","7910514","1","1",0,1,0,0,1,2171666.6667
"318","7910515","1","1",0,0,0,0,2,5022250
"319","7910517","1","1",0,1,0,0,2,4115030
"320","7910518","1","1",0,1,0,0,2,1160000
"321","7910519","1","1",1,1,0,0,2,1410000
"322","7910520","1","1",0,1,0,0,1,825000
"323","7910522","1","1",0,1,0,0,2,1960000
"324","7910523","1","1",0,1,0,0,1,1958333.3333
"325","7910524","1","1",0,0,0,0,2,2445000
"326","7910525","1","1",0,1,0,0,1,1260000
"327","7910526","1","1",0,1,0,0,2,222500
"328","7910528","1","1",0,1,0,0,2,3098750
"329","7910529","1","1",0,1,0,0,2,620833.33333
"330","7910530","1","1",0,1,0,0,2,3655666.6667
"331","7910531","1","1",0,1,0,0,1,1506666.6667
"332","7910532","1","1",1,1,0,1,3,6163333.3333
"333","7910533","1","1",0,1,0,0,1,8e+05
"334","7910535","1","1",0,1,0,0,2,1760000
"335","7910536","1","1",0,1,0,0,2,3380272.6667
"336","7910537","1","1",0,0,0,0,1,504166.66667
"337","7910538","1","1",0,1,0,0,1,371666.66667
"338","7910541","1","1",0,1,0,0,2,6e+05
"339","7910544","1","1",0,0,0,0,2,3739666.6667
"340","7910545","1","1",0,1,0,0,2,1950000
"341","7910547","1","1",0,0,0,1,2,1700000
"342","7910548","1","1",0,0,0,0,2,12633333.333
"343","7910550","1","1",1,1,0,1,2,8601500
