"IMCV","Ingresos","Salud","Trabajo","Capital","NivelIngresos"
76.63,3.54,4.43,0.83,12.74,"Alto"
76.62,3.5,4.32,0.8,12.77,"Alto"
75.73,3.52,4.42,0.82,12.86,"Alto"
75.85,3.6534117,4.25943652,0.76464421,12.74771769,"Alto"
74.64,3.231,4.272,0.799,12.323,"Alto"
75.48,3.4632878,4.33041648,0.72804567,12.39221408,"Alto"
75.34,3.50139123,4.17218566,0.76342841,12.34120111,"Alto"
76.6,3.64106194,4.4239942,0.66804481,12.74137222,"Alto"
50.63,1.58,3.46,0.65,6.84,"Medio"
51.02,1.66,3.45,0.58,6.79,"Medio"
51.03,1.79,3.48,0.69,6.94,"Alto"
51.97,1.90345892,3.66268516,0.64970973,7.03215054,"Alto"
51.03,1.595,3.715,0.626,6.793,"Medio"
49.39,1.76755891,3.39902963,0.55752597,6.83225543,"Alto"
50.99,1.75475882,3.64670199,0.49991216,6.93600627,"Alto"
52.35,2.04073059,3.75404816,0.6455502,6.86325294,"Alto"
57.15,2.11,4.04,0.6,8.36,"Alto"
57.07,2.29,3.77,0.63,8.28,"Alto"
56.86,2.31,3.74,0.73,8.48,"Alto"
57.46,2.37745736,3.82385734,0.64859976,8.407093,"Alto"
55.46,1.965,3.758,0.615,7.595,"Alto"
56.67,2.30902234,3.85961045,0.65146135,8.21026985,"Alto"
56.11,2.18405571,3.74457449,0.60754387,7.89106499,"Alto"
57.43,2.477536,3.9227724,0.57943043,8.18702973,"Alto"
32.28,0.62,1.95,0.39,3.32,"Bajo"
34.82,0.66,2.17,0.7,3.2,"Bajo"
35.11,0.96,2.35,0.84,3.78,"Bajo"
35.94,1.01738491,2.79176038,0.65076604,4.35930377,"Bajo"
36.64,1.006,2.662,0.829,3.389,"Bajo"
37.71,1.39427442,2.62176667,0.77489302,4.34846047,"Medio"
37.09,1.1088275,2.2981575,0.5704925,4.52805385,"Bajo"
39.22,1.31698421,3.03471714,0.57799211,4.35730789,"Bajo"
38.31,1.01,2.89,0.63,4.49,"Bajo"
38.63,1.12,2.92,0.53,4.44,"Bajo"
39.58,1.31,2.82,0.69,4.81,"Bajo"
39.96,1.28366133,2.94908571,0.65273941,4.97234617,"Bajo"
40.82,1.364,3.384,0.601,4.645,"Medio"
39.69,1.31947481,2.60449451,0.70591589,4.96976148,"Bajo"
40.38,1.44767992,2.97506601,0.59083591,4.80349336,"Medio"
38.76,1.48386615,2.8330588,0.57572879,4.61836349,"Medio"
34.01,0.85,2.9,0.58,3.71,"Bajo"
34.55,0.85,2.89,0.42,3.74,"Bajo"
35.22,1.3,3.03,0.71,3.94,"Bajo"
36.75,1.2073208,2.84713934,0.5786432,4.220996,"Bajo"
42.5,1.344,3.64,0.54,5.048,"Medio"
45.06,1.71300093,3.41662617,0.68238505,6.0487271,"Medio"
43.62,1.436653,2.99309388,0.420285,5.33537,"Medio"
39.44,1.37664257,3.13402022,0.46009604,4.50336238,"Medio"
42.64,1.24,3.67,0.58,5.26,"Bajo"
41.65,1.26,3.11,0.63,5.02,"Bajo"
42.66,1.38,3.43,0.7,5.34,"Medio"
42.87,1.44054717,3.36437298,0.59212809,5.25193774,"Medio"
41.97,1.273,3.555,0.565,4.914,"Bajo"
44.77,1.66218755,3.43261646,0.74633444,5.6954668,"Medio"
43.96,1.56083222,3.40601429,0.62845792,5.50712625,"Medio"
45.7,1.747405,3.66047371,0.61319333,5.61827083,"Medio"
43.98,1.3,3.14,0.7,5.32,"Bajo"
42.83,1.28,2.75,0.89,4.59,"Bajo"
41.76,1.54,2.68,0.85,5.7,"Medio"
42.94,1.40661512,3.01577093,0.58662326,5.57306353,"Medio"
38.18,1.249,3.055,0.705,3.706,"Bajo"
37.19,1.28354125,2.90546962,0.80380617,4.53541852,"Bajo"
39.5,1.41284932,3.16558429,0.57189589,4.99144,"Medio"
45.57,1.77016849,3.0677,0.60550548,6.24585616,"Alto"
